1,0
2,0
3,0
4,0
5,1
6,1
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,1
27,0
28,0
29,1

1,2,18
1,22,20
1,24,19
1,25,17
1,26,19
2,3,23
2,7,24
2,19,16
3,4,23
3,7,19
3,17,20
3,19,16
3,21,28
4,5,23
4,9,23
4,17,19
4,21,23
5,6,19
5,9,21
5,17,28
6,9,20
6,18,23
6,29,16
7,8,17
7,16,20
7,19,16
7,26,17
8,11,19
8,13,20
8,16,18
8,19,15
9,10,27
9,20,28
9,21,29
9,29,17
10,28,19
10,29,16
11,13,18
11,17,19
11,18,17
11,19,15
12,13,16
12,15,17
12,18,16
12,29,15
13,15,16
13,16,17
14,15,17
14,16,16
15,16,16
16,25,19
16,26,18
17,18,17
17,19,15
18,29,14
20,21,20
22,23,19
22,24,18
23,24,18
24,25,17
25,26,19
27,28,15
27,29,16
28,29,14
